,Depth,Temp.,Electron,Proton,H(1),H(2),He(1),He(2),He II,He III
,(km),(K),(/cm3),(/cm3),(/cm3),(/cm3),(/cm3),(/cm3),(/cm3),(/cm3)
1,2.22E+03,1.03E+05,6.56E+09,5.48E+09,1.11E+05,3.70E-02,4.32E+02,5.98E-01,2.01E+07,5.28E+08
2,2.22E+03,9.88E+04,6.81E+09,5.70E+09,1.79E+05,5.90E-02,1.20E+03,1.54E+00,4.41E+07,5.26E+08
3,2.22E+03,9.48E+04,7.07E+09,5.94E+09,2.46E+05,8.00E-02,2.86E+03,3.39E+00,7.28E+07,5.22E+08
4,2.22E+03,9.08E+04,7.36E+09,6.21E+09,3.44E+05,1.11E-01,6.72E+03,7.25E+00,1.05E+08,5.17E+08
5,2.21E+03,8.39E+04,7.91E+09,6.73E+09,7.00E+05,2.20E-01,2.64E+04,2.44E+01,1.77E+08,4.98E+08
6,2.21E+03,7.59E+04,8.66E+09,7.45E+09,2.05E+06,6.29E-01,1.25E+05,9.42E+01,2.90E+08,4.59E+08
7,2.21E+03,7.13E+04,9.17E+09,7.94E+09,4.39E+06,1.33E+00,3.29E+05,2.15E+02,3.70E+08,4.28E+08
8,2.21E+03,6.61E+04,9.82E+09,8.56E+09,9.81E+06,2.97E+00,8.62E+05,4.69E+02,4.75E+08,3.86E+08
9,2.21E+03,6.02E+04,1.07E+10,9.41E+09,2.31E+07,7.09E+00,2.36E+06,9.92E+02,6.13E+08,3.33E+08
10,2.21E+03,5.33E+04,1.19E+10,1.06E+10,5.70E+07,1.83E+01,6.75E+06,1.93E+03,7.90E+08,2.73E+08
11,2.21E+03,4.94E+04,1.28E+10,1.14E+10,9.34E+07,3.12E+01,1.19E+07,2.61E+03,8.92E+08,2.47E+08
12,2.21E+03,4.54E+04,1.38E+10,1.23E+10,1.47E+08,5.19E+01,2.03E+07,3.28E+03,9.98E+08,2.30E+08
13,2.20E+03,4.12E+04,1.51E+10,1.35E+10,2.32E+08,8.80E+01,3.46E+07,3.76E+03,1.12E+09,2.22E+08
14,2.20E+03,3.66E+04,1.67E+10,1.50E+10,3.69E+08,1.53E+02,6.05E+07,3.75E+03,1.26E+09,2.21E+08
15,2.20E+03,3.21E+04,1.88E+10,1.69E+10,5.70E+08,2.61E+02,1.02E+08,3.14E+03,1.41E+09,2.27E+08
16,2.20E+03,2.80E+04,2.12E+10,1.91E+10,8.50E+08,4.23E+02,1.64E+08,2.26E+03,1.59E+09,2.33E+08
17,2.20E+03,2.41E+04,2.41E+10,2.18E+10,1.24E+09,6.62E+02,2.50E+08,1.52E+03,1.81E+09,2.36E+08
18,2.20E+03,2.04E+04,2.77E+10,2.51E+10,1.78E+09,1.02E+03,3.89E+08,1.30E+03,2.07E+09,2.22E+08
19,2.20E+03,1.79E+04,3.08E+10,2.81E+10,2.35E+09,1.40E+03,5.82E+08,1.43E+03,2.26E+09,1.90E+08
20,2.20E+03,1.65E+04,3.29E+10,3.01E+10,2.82E+09,1.72E+03,7.45E+08,1.60E+03,2.38E+09,1.66E+08
21,2.20E+03,1.50E+04,3.53E+10,3.25E+10,3.60E+09,2.26E+03,9.94E+08,1.85E+03,2.48E+09,1.26E+08
22,2.20E+03,1.43E+04,3.65E+10,3.38E+10,4.28E+09,2.75E+03,1.20E+09,1.98E+03,2.50E+09,1.00E+08
23,2.20E+03,1.35E+04,3.73E+10,3.47E+10,5.89E+09,4.00E+03,1.61E+09,2.01E+03,2.40E+09,5.57E+07
24,2.20E+03,1.30E+04,3.72E+10,3.48E+10,8.24E+09,5.99E+03,2.05E+09,1.91E+03,2.21E+09,4.48E+07
25,2.19E+03,1.20E+04,3.56E+10,3.30E+10,1.71E+10,1.78E+04,2.53E+09,2.23E+03,2.45E+09,3.07E+07
26,2.17E+03,1.12E+04,3.81E+10,3.54E+10,2.12E+10,2.59E+04,3.03E+09,2.62E+03,2.60E+09,2.82E+07
27,2.14E+03,1.06E+04,4.06E+10,3.77E+10,2.63E+10,2.96E+04,3.63E+09,3.00E+03,2.75E+09,2.66E+07
28,2.11E+03,9.90E+03,4.24E+10,3.92E+10,3.54E+10,3.15E+04,4.48E+09,3.49E+03,2.96E+09,2.58E+07
29,2.09E+03,9.45E+03,4.31E+10,3.98E+10,4.45E+10,3.23E+04,5.28E+09,3.85E+03,3.14E+09,2.53E+07
30,2.08E+03,9.20E+03,4.34E+10,4.00E+10,5.03E+10,3.27E+04,5.78E+09,4.05E+03,3.23E+09,2.51E+07
31,2.06E+03,8.95E+03,4.36E+10,4.01E+10,5.70E+10,3.32E+04,6.37E+09,4.27E+03,3.33E+09,2.49E+07
32,2.04E+03,8.70E+03,4.37E+10,4.01E+10,6.69E+10,3.40E+04,7.25E+09,4.50E+03,3.44E+09,2.44E+07
33,2.02E+03,8.40E+03,4.39E+10,4.01E+10,8.18E+10,3.54E+04,8.64E+09,4.74E+03,3.54E+09,2.33E+07
34,1.98E+03,8.05E+03,4.42E+10,4.03E+10,1.06E+11,3.80E+04,1.11E+10,4.91E+03,3.56E+09,2.09E+07
35,1.92E+03,7.65E+03,4.54E+10,4.19E+10,1.57E+11,4.37E+04,1.68E+10,4.54E+03,3.15E+09,1.43E+07
36,1.86E+03,7.45E+03,4.70E+10,4.41E+10,2.12E+11,4.96E+04,2.32E+10,3.73E+03,2.52E+09,8.69E+06
37,1.78E+03,7.25E+03,5.08E+10,4.87E+10,3.31E+11,6.13E+04,3.66E+10,2.34E+02,1.49E+09,3.07E+06
38,1.67E+03,7.05E+03,5.74E+10,5.58E+10,5.74E+11,8.01E+04,6.22E+10,1.27E+03,8.55E+08,8.87E+05
39,1.58E+03,6.90E+03,6.32E+10,6.16E+10,9.28E+11,9.69E+04,9.84E+10,7.78E+02,5.58E+08,3.49E+05
40,1.48E+03,6.72E+03,7.04E+10,6.89E+10,1.66E+12,1.18E+05,1.72E+11,3.74E+02,2.21E+08,7.23E+04
41,1.38E+03,6.56E+03,7.86E+10,7.66E+10,2.89E+12,1.42E+05,2.97E+11,2.87E+02,2.64E+08,1.10E+04
42,1.28E+03,6.39E+03,8.76E+10,8.53E+10,5.30E+12,1.69E+05,5.39E+11,2.45E+02,2.27E+08,5.69E+03
43,1.18E+03,6.23E+03,9.80E+10,9.50E+10,9.92E+12,2.00E+05,1.00E+12,1.69E+02,9.32E+07,2.87E+02
44,1.07E+03,6.04E+03,1.10E+11,1.05E+11,2.15E+13,2.35E+05,2.16E+12,1.24E+02,4.86E+07,3.79E+01
45,9.80E+02,5.90E+03,1.18E+11,1.10E+11,3.92E+13,2.63E+05,3.93E+12,9.55E+01,3.58E+07,1.00E+01
46,9.05E+02,5.76E+03,1.23E+11,1.11E+11,6.79E+13,2.74E+05,6.80E+12,7.27E+01,2.62E+07,2.86E+00
47,8.55E+02,5.65E+03,1.24E+11,1.09E+11,9.92E+13,2.70E+05,9.93E+12,6.11E+01,2.12E+07,1.27E+00
48,8.05E+02,5.49E+03,1.08E+11,8.54E+10,1.48E+14,2.12E+05,1.48E+13,5.61E+01,2.04E+07,7.41E-01
49,7.55E+02,5.28E+03,9.41E+10,6.18E+10,2.27E+14,1.38E+05,2.27E+13,5.15E+01,1.92E+07,3.64E-01
50,7.05E+02,5.03E+03,8.28E+10,3.49E+10,3.56E+14,7.10E+04,3.56E+13,4.16E+01,1.56E+07,1.30E-01
51,6.50E+02,4.75E+03,9.03E+10,1.35E+10,6.03E+14,3.16E+04,6.03E+13,2.27E+01,7.82E+06,1.71E-02
52,6.00E+02,4.55E+03,1.26E+11,5.46E+09,9.89E+14,1.86E+04,9.89E+13,1.16E+01,3.20E+06,1.34E-03
53,5.60E+02,4.43E+03,1.77E+11,2.97E+09,1.48E+15,1.49E+04,1.48E+14,6.46E+00,1.57E+06,1.36E-04
54,5.25E+02,4.40E+03,2.41E+11,2.57E+09,2.08E+15,1.80E+04,2.08E+14,3.19E+00,7.16E+05,1.39E-05
55,4.90E+02,4.41E+03,3.28E+11,2.76E+09,2.90E+15,2.67E+04,2.90E+14,1.24E+00,2.45E+05,9.78E-07
56,4.50E+02,4.46E+03,4.66E+11,3.73E+09,4.19E+15,5.15E+04,4.19E+14,2.45E-01,4.32E+04,2.02E-08
57,4.00E+02,4.56E+03,7.24E+11,6.70E+09,6.54E+15,1.42E+05,6.55E+14,1.05E-02,1.61E+03,1.83E-11
58,3.50E+02,4.66E+03,1.12E+12,1.21E+10,1.01E+16,3.80E+05,1.01E+15,7.75E-05,9.95E+00,4.60E-16
59,3.00E+02,4.77E+03,1.71E+12,2.38E+10,1.54E+16,1.04E+06,1.54E+15,4.36E-06,3.44E-02,5.37E-22
60,2.50E+02,4.88E+03,2.60E+12,4.94E+10,2.33E+16,2.73E+06,2.33E+15,1.93E-05,1.02E-01,9.57E-26
61,2.00E+02,4.99E+03,3.93E+12,1.10E+11,3.47E+16,6.95E+06,3.48E+15,8.78E-05,3.90E-01,8.33E-31
62,1.50E+02,5.15E+03,6.04E+12,3.22E+11,5.05E+16,2.12E+07,5.06E+15,5.80E-04,2.43E+00,5.47E-36
63,1.00E+02,5.41E+03,9.89E+12,1.40E+12,7.10E+16,8.96E+07,7.11E+15,7.40E-03,3.33E+01,4.38E-41
64,5.00E+01,5.79E+03,1.97E+13,7.49E+12,9.55E+16,5.07E+08,9.56E+15,1.65E-01,8.07E+02,2.03E-37
65,0.00E+00,6.52E+03,7.68E+13,6.00E+13,1.18E+17,6.18E+09,1.18E+16,1.71E+01,7.31E+04,1.04E-30
66,-2.00E+01,6.98E+03,1.73E+14,1.53E+14,1.24E+17,2.15E+10,1.25E+16,1.84E+02,6.85E+05,2.82E-27
67,-4.00E+01,7.59E+03,4.48E+14,4.25E+14,1.28E+17,8.63E+10,1.28E+16,2.66E+03,8.37E+06,2.18E-23
68,-6.00E+01,8.22E+03,1.05E+15,1.02E+15,1.30E+17,2.90E+11,1.31E+16,2.77E+04,7.39E+07,5.49E-20
69,-8.00E+01,8.86E+03,2.21E+15,2.18E+15,1.30E+17,8.23E+11,1.32E+16,2.12E+05,4.89E+08,4.96E-17
70,-1.00E+02,9.40E+03,3.87E+15,3.83E+15,1.31E+17,1.79E+12,1.35E+16,9.58E+05,1.99E+09,7.58E-15